system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
6017,1166.1435416454274,230.0,16.35178892502153,119.47083290855336,2.0,590.0551534305232,-18.771359118735568,-44.89012107279195,1191.4168853759766,4.0,266.8564583545723,-18.776174929417444,-44.89195043931035,0.90282393720053,LVd3,
537,1168.3579918989967,229.60712219131506,47.838636717214996,231.36454520737058,1.0,596.6390312258171,-18.77399664189609,-44.89197485537459,1191.4168853759766,4.0,266.511471775459,-18.776174929417444,-44.89195043931035,0.9416685838579466,LVd3,
5991,1168.3788001001321,229.99588351458854,11.950476739666115,243.9679025394266,2.0,591.338414040553,-18.774196316807327,-44.90167871240874,1212.9202806337348,4.0,266.00411648541143,-18.776174929417444,-44.89195043931035,0.7367396322977223,LVd3,
5912,1182.318397151073,226.64951973340317,20.422831793855554,148.7174921589128,2.0,641.1800019602728,-18.7640011464031,-44.92610062434386,1222.8902435302734,4.0,266.9834847098799,-18.765331629945837,-44.94896713912856,2.0195210402509165,CXbd21,
5918,1177.908930669801,228.18184488836675,21.55448583450337,135.08250355618785,2.0,627.0802616117264,-18.764890404174647,-44.92126357644917,1222.8902435302734,4.0,266.8181551116336,-18.765331629945837,-44.94896713912856,2.1420155853794296,CXbd21,
6031,1170.9981010890808,229.0,11.947256969291413,320.83434794750053,2.0,612.4339569952525,-18.7789170572588,-44.88798831668339,1191.4168853759766,4.0,267.0,-18.776174929417444,-44.89195043931035,1.5875453783859255,LVd3,
538,1186.0,226.0,16.56860334336305,96.173297913019,8.0,660.4400370303291,-18.804580239635406,-44.84660776414026,1190.0489501953125,5.0,272.0,-18.80970669454517,-44.83470966157877,1.0943870876854034,LVd3,
539,1179.772029511179,226.97037652581108,29.686973023211095,44.97938260098145,8.0,648.2882056349729,-18.80901860165345,-44.83882102471872,1190.0489501953125,5.0,272.0,-18.80970669454517,-44.83470966157877,2.0638622811647256,LVd3,
6360,1179.9007913229827,225.77480216925474,27.847185418599988,289.8156253367014,2.0,651.3535693335403,-18.76577392265454,-44.788235059348594,1195.3078308105469,5.0,278.0,-18.77258659304273,-44.783380420202505,1.3925967604841316,LVd3,
540,1184.4874538478246,224.7790197639905,23.04074444621062,239.68628103960043,10.0,656.0689061029467,-18.76601145280952,-44.78123986923851,1195.3078308105469,5.0,279.51578947368415,-18.77258659304273,-44.783380420202505,1.0704408890175923,LVd3,
